"filename", "language", "JavaScript JSX", "JSON with Comments", "JavaScript", "Shell Script", "YAML", "TypeScript", "Markdown", "JSON", "TypeScript JSX", "PostCSS", "Ignore", "comment", "blank", "total"
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/dates/src/it-supports-clearable-props.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 6, 37
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/dates/src/it-supports-date-input-props.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 288, 0, 0, 0, 67, 355
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/dates/src/it-supports-get-control-ref.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 4, 27
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/dates/src/it-supports-get-day-ref.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 4, 24
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/dates/src/it-supports-month-props.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 216, 0, 0, 4, 46, 266
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/dates/src/it-supports-months-list-props.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 115, 0, 0, 0, 14, 129
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/dates/src/it-supports-on-control-click.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 4, 27
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/dates/src/it-supports-on-control-key-down.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 4, 27
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/dates/src/it-supports-on-control-mouse-enter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/dates/src/it-supports-on-day-click.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 4, 27
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/dates/src/it-supports-on-day-keydown.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 4, 28
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/dates/src/it-supports-weekdays-props.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 14, 82
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/dates/src/it-supports-with-next-previous.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 6, 29
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/dates/src/it-supports-years-list-props.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 112, 0, 0, 0, 14, 126
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/dates/tsconfig.build.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/dates/tsconfig.json", "JSON with Comments", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon/carousel/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 9, 22
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon/carousel/package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 1, 53
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon/carousel/src/Carousel.context.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon/carousel/src/Carousel.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 132, 0, 0, 28, 160
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon/carousel/src/Carousel.old.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 12, 90
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon/carousel/src/Carousel.story.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 180, 0, 0, 0, 14, 194
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon/carousel/src/Carousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 355, 0, 0, 23, 58, 436
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon/carousel/src/CarouselSlide/CarouselSlide.old.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 5, 37
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon/carousel/src/CarouselSlide/CarouselSlide.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 9, 56
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon/carousel/src/CarouselVariables/CarouselVariables.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 23, 113
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon/carousel/src/get-chevron-rotation.ts", "TypeScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon/carousel/src/index.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon/carousel/tsconfig.build.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon/carousel/tsconfig.json", "JSON with Comments", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon/code-highlight/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 9, 22
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon/code-highlight/package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 1, 56
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon/code-highlight/src/CodeHighlight.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 238, 0, 0, 52, 290
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon/code-highlight/src/CodeHighlight/CodeHighlight.context.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
